বহন অন	Bahana ana
উপসাগর	Upasāgara
গিরিখাত	Girikhāta
গিটার	Giṭāra
গিটার	Giṭāra
ভান	Bhāna
গিনিপিগ	Ginipiga
দোষী	Dōṣī
guiltily	Guiltily
কলুষ	Kaluṣa
শিরছেদনার্থ যন্ত্রবিশেষ	Śirachēdanārtha yantrabiśēṣa
সরল	Sarala
ছলনা	Chalanā
পৌরসভা	Paurasabhā
নির্দেশিকা	Nirdēśikā
গাইডলাইন	Gā'iḍalā'ina
অধ্যক্ষ	Adhyakṣa
পথপঁজি	Pathapam̐ji
কৌশল	Kauśala
নির্দেশিকা পরামর্শদাতা	Nirdēśikā parāmarśadātā
পথপ্রদর্শন	Pathapradarśana
অট্টহাসি	Aṭṭahāsi
অর্থহীন অট্টহাস	Arthahīna aṭṭahāsa
অতিথি	Atithi
অনুমানপ্রসূত মত	Anumānaprasūta mata
আন্দাজি হিসেব	Āndāji hisēba
অনুমান	Anumāna
গরিলা	Garilā
শাসক-সংক্রান্ত	Śāsaka-saṅkrānta
সিঁড়ির পার্শ্বস্থ রেলিং	Sim̐ṛira pārśbastha rēliṁ
মানুষের ব্যক্তিগত শুভসাধক দেবদূত	Mānuṣēra byaktigata śubhasādhaka dēbadūta
অভিভাবক	Abhibhābaka
guardedly	Guardedly
সুরক্ষিত	Surakṣita
পাহারা	Pāhārā
জামিন	Jāmina
জামিনদার	Jāminadāra
জামিন	Jāmina
guacamole	Guacamole
জি - স্ট্রিং	Ji - sṭriṁ
ঘোঁৎ ঘোঁৎ	Ghōm̐ṯ ghōm̐ṯ
grungy	Grungy
গ্রুঙ্গ	Gruṅga
বদরাগী	Badarāgī
অভিযোগ	Abhiyōga
মাইয়াডারে বাঁচাও	Mā'iẏāḍārē bām̐cā'ō
বিষাদময়	Biṣādamaẏa
ঘৃণ্য	Ghr̥ṇya
কঠোর	Kaṭhōra
জাউ	Jā'u
কৃপণ	Kr̥paṇa
দ্বেষ	Dbēṣa
অপরিচ্ছন্ন	Aparicchanna
কীড়া	Kīṛā
বৃদ্ধি	Br̥d'dhi
ধাড়ী	Dhāṛī
পূর্ণবয়স্ক	Pūrṇabaẏaska
গজরানি	Gajarāni
ক্রমবর্ধমান যন্ত্রনা	Kramabardhamāna yantranā
চারা	Cārā
হত্তয়া	Hattaẏā
পদলেহন	Padalēhana
উদ্যান	Udyāna
অনাদর	Anādara
গোষ্ঠী	Gōṣṭhī
Groupie	Groupie
গ্রুপ	Grupa
বনিয়াদ	Baniẏāda
groundswell	Groundswell
তলানি	Talāni
স্থল নিয়ম	Sthala niẏama
অকারণ	Akāraṇa
ভিত্তিহীন	Bhittihīna
ভিত্তি	Bhitti
Groundhog দিন	Groundhog dina
Groundhog	Groundhog
একতলা	Ēkatalā
স্থল ক্রু	Sthala kru
স্থল	Sthala
খিট্খিটে	Khiṭkhiṭē
অসন্তোষ প্রকাশ করা	Asantōṣa prakāśa karā
গুহা	Guhā
অদ্ভুত	Adbhuta
প্রবলভাবে	Prabalabhābē
স্থূল	Sthūla
অনুভব করা	Anubhaba karā
খাঁজকাটা	Khām̐jakāṭā
খাঁজ	Khām̐ja
গ্রুমিং	Grumiṁ
বর	Bara
কুঁচকি	Kum̐caki
টলায়মান	Ṭalāẏamāna
মুদি দোকান	Mudi dōkāna
মুদিখানা	Mudikhānā
মুদীখানার পণ্যদ্রব্য	Mudīkhānāra paṇyadrabya
মুদি	Mudi
গাঁ	Gām̐
ছাইরঙা ভালুক	Chā'iraṅā bhāluka
বালুকাময়	Bālukāmaẏa
মোটাভাবে চূর্ণিত শস্য	Mōṭābhābē cūrṇita śasya
কঙ্কর	Kaṅkara
তরুণাস্থি	Taruṇāsthi
ভয়ানক	Bhaẏānaka
gripping	Gripping
আঁকড়ান	Ām̐kaṛāna
দৃঢ়মুষ্টি	Dr̥ṛhamuṣṭi
পরদেশী	Paradēśī
শান	Śāna
পেষকদন্ত	Pēṣakadanta
চূর্ণনশব্দ	Cūrṇanaśabda
কষ্টহাসি	Kaṣṭahāsi
নোংরা	Nōnrā
ক্ষমাহীনভাবে	Kṣamāhīnabhābē
ময়লা	Maẏalā
ভেংচি	Bhēn̄ci
ভয়ানক	Bhaẏānaka
ভাজাভুজি	Bhājābhuji
দু: খজনক	Du: Khajanaka
শোক করা	Śōka karā
নালিশের কারণ	Nāliśēra kāraṇa
বিষাদ	Biṣāda
জট	Jaṭa
জাফরি	Jāphari
তাত্তয়া	Tāttaẏā
গ্রিড	Griḍa
ডালকুত্তা	Ḍālakuttā
হয়েছি	Haẏēchi
বোমা	Bōmā
ভূত	Bhūta
যূথচর	Yūthacara
শুভেচ্ছা	Śubhēcchā
অভিবাদন কার্ড	Abhibādana kārḍa
অভিবাদন	Abhibādana
অভিবাদন জানান	Abhibādana jānāna
সবুজ শাকসবজি	Sabuja śākasabaji
হরিতাভ	Haritābha
গ্রিনহাউজ এফেক্ট	Grinahā'uja ēphēkṭa
গ্রিনহাউজ	Grinahā'uja
বালক	Bālaka
শ্যামলিমা	Śyāmalimā
সবুজ কার্ড	Sabuja kārḍa
সবুজ শিম	Sabuja śima
আমেরিকার পত্রমুদ্রা	Āmērikāra patramudrā
সবুজ	Sabuja
গ্রিক	Grika
অর্থগৃধ্নু	Arthagr̥dhnu
সাগ্রহে	Sāgrahē
ক্ষুধা	Kṣudhā
মহিমা	Mahimā
অতিশয়	Atiśaẏa
প্রপৌত্র	Prapautra
মহান - পিতামহ	Mahāna - pitāmaha
মহান - দাদীর	Mahāna - dādīra
মহান - পিতামহ	Mahāna - pitāmaha
মহান - নাতনী	Mahāna - nātanī
মহান - নাতি	Mahāna - nāti
গ্রেট্ ব্রিেন	Grēṭ briēna
মহান	Mahāna
চর্বিযুক্ত	Carbiyukta
চর্বি লাগানো	Carbi lāgānō
আচড়	Ācaṛa
মগজ	Magaja
ষৎ ধূসর	Ṣaṯ dhūsara
ধূসর	Dhūsara
রসা	Rasā
মাধ্যাকর্ষণ	Mādhyākarṣaṇa
মহাকর্ষ	Mahākarṣa
ঝুঁকিয়ে পড়া	Jhum̐kiẏē paṛā
কারবালা	Kārabālā
সমাধিস্তম্ভ	Samādhistambha
গুরুত্বসহকারে	Gurutbasahakārē
নুড়ি	Nuṛi
সমাধি	Samādhi
আনুতোষিক	Ānutōṣika
ভিত্তিহীন	Bhittihīna
কৃতজ্ঞতা	Kr̥tajñatā
বিনামূল্যে	Bināmūlyē
কর্কশ	Karkaśa
gratifying	Gratifying
পরিতৃপ্ত করা	Paritr̥pta karā
পরিতৃপ্তি	Paritr̥pti
আঁচড়া	Ām̐caṛā
কৃতজ্ঞচিত্তে	Kr̥tajñacittē
কৃতজ্ঞ	Kr̥tajña
ঝাঁঝরি	Jhām̐jhari
শ্যামল	Śyāmala
ঘাস শিকড়	Ghāsa śikaṛa
ঘাস শিকড়	Ghāsa śikaṛa
কেদার	Kēdāra
ফড়িং	Phaṛiṁ
ঘাস	Ghāsa
সুদৃঢ়	Sudr̥ṛha
উপলব্ধি	Upalabdhi
কুস্তি করা	Kusti karā
কৃষ্ণসীস নামক ধাতু	Kr̥ṣṇasīsa nāmaka dhātu
গ্রাফিক্স	Grāphiksa
graphically	Graphically
গ্রাফিক	Grāphika
চিত্রলেখ	Citralēkha
Grapevine	Grapevine
জাম্বুরা	Jāmburā
দ্রাক্ষা	Drākṣā
কণিকা	Kaṇikā
কণিকাকার	Kaṇikākāra
ঝুরা	Jhurā
মঞ্জুর	Mañjura
অনুদান	Anudāna
granola	Granola
বৃদ্ধা	Br̥d'dhā
গ্র্যানিত্শিলা	Gryānitśilā
সর্বোমোট	Sarbōmōṭa
লোকদেখান	Lōkadēkhāna
নাতি	Nāti
গ্র্যান্ড স্লাম	Gryānḍa slāma
গ্র্যান্ড প্রিক্স	Gryānḍa priksa
পিয়ানো	Piẏānō
পিতামহ	Pitāmaha
মাতামহ	Mātāmaha
নানী	Nānī
ঠাকুরমা	Ṭhākuramā
grandly	Grandly
গ্র্যান্ড জুরি	Gryānḍa juri
সুবিশাল	Subiśāla
পিতামহ ঘড়ি	Pitāmaha ghaṛi
পিতামহ	Pitāmaha
জাঁকজমক	Jām̐kajamaka
নাতনী	Nātanī
মাতামহ	Mātāmaha
নাতি	Nāti
নাতি	Nāti
ব্যাকরণগত	Byākaraṇagata
মহীয়ান	Mahīẏāna
ব্যাকরণগতভাবে	Byākaraṇagatabhābē
গ্র্যামি	Gryāmi
প্রাচীন ভার্ষা শিক্ষার বিদ্যালয়	Prācīna bhārṣā śikṣāra bidyālaẏa
ব্যাকরণ	Byākaraṇa
গ্রাম	Grāma
দানাদার	Dānādāra
শস্য	Śasya
ঘুস	Ghusa
দেত্তয়ালের ছবি	Dēttaẏālēra chabi
স্নাতকের	Snātakēra
স্নাতক স্কুল	Snātaka skula
স্নাতক	Snātaka
ধীরে ধীরে	Dhīrē dhīrē
ক্রমান্বয়িক	Kramānbaẏika
grad স্কুল	Grad skula
নতিমাত্রা	Natimātrā
গ্রেড স্কুল	Grēḍa skula
grader	Grader
গ্রেড পয়েন্ট গড়	Grēḍa paẏēnṭa gaṛa
শ্রেণী	Śrēṇī
ক্রমবিন্যাস	Kramabin'yāsa
Grad	Grad
বদান্যতা	Badān'yatā
অনুগ্রহপূর্বক	Anugrahapūrbaka
কৃপাময়	Kr̥pāmaẏa
সৌন্দর্য	Saundarya
gracefully	Gracefully
সুতনু	Sutanu
অনুগ্রহ	Anugraha
দখল	Dakhala
জিপিএ	Jipi'ē
গাউন	Gā'una
গভর্নর	Gabharnara
রাজ্যপাল	Rājyapāla
সরকারি	Sarakāri
সরকার	Sarakāra
শাসন ​​করা	Śāsana ​​karā
গেঁটেবাত	Gēm̐ṭēbāta
খাইয়ে লোক	Khā'iẏē lōka
লাউ	Lā'u
গোলাস	Gōlāsa
উপড়াইয়া ফেলা	Upaṛā'iẏā phēlā
অর্জিত	Arjita
অতি	Ati
পেয়েছেন	Pēẏēchēna
পরচর্চা	Paracarcā
গসপেল গান	Gasapēla gāna
ধর্মবাণী	Dharmabāṇī
ধর্মবাণী	Dharmabāṇī
শিশু-হংসী	Śiśu-hansī
ভগবন্	Bhagaban
রক্তাক্ত	Raktākta
বনমানুষ	Banamānuṣa
gorgeously	Gorgeously
টকটকে	Ṭakaṭakē
ঘাট	Ghāṭa
রক্ত	Rakta
খোঁড়া	Khōm̐ṛā
টেস্ট	Ṭēsṭa
হংসী বাধা বিপত্তি	Hansī bādhā bipatti
হংসী	Hansī
গণ্ডমূর্খ	Gaṇḍamūrkha
বোকা	Bōkā
গুবলেট বন্ধ	Gubalēṭa bandha
বোকা লোক	Bōkā lōka
ভাবালু	Bhābālu
নেহাৎ ভালমানুষ	Nēhāṯ bhālamānuṣa
নেহাৎ ভালমানুষ	Nēhāṯ bhālamānuṣa
মঙ্গলকামনা	Maṅgalakāmanā
অনিনি্দতচরিত্র	Aninidatacaritra
মাল	Māla
ভাল বয়সী ছেলে	Bhāla baẏasī chēlē
ধার্মিকতা	Dhārmikatā
সত্স্বভাব	Satsbabhāba
সৌম্যদর্শন	Saumyadarśana
গুডিজ	Guḍija
খোশমেজাজী	Khōśamējājī
ভাল লোক	Bhāla lōka
গুড ফ্রাইডে	Guḍa phrā'iḍē
ভাল - জন্য - কিছুই	Bhāla - jan'ya - kichu'i
ভাল সম্ভাষণ	Bhāla sambhāṣaṇa
গুড বুক	Guḍa buka
ভাল	Bhāla
সস্তা ভাবালুতা	Sastā bhābālutā
প্রমেহ	Pramēha
করত	Karata
ঘণ্টা	Ghaṇṭā
মৃত ব্যক্তি	Mr̥ta byakti
সর্বস্বান্ত	Sarbasbānta
গন্ডোলা	Ganḍōlā
বিস্ময়সূচক অব্যয়	Bismaẏasūcaka abyaẏa
গল্ফ খেলোয়াড়	Galpha khēlōẏāṛa
গলফ কোর্স	Galapha kōrsa
গলফ ক্লাব	Galapha klāba
গলফ বল	Galapha bala
গলফ	Galapha
ফ্যাশন অন্বেষণ	Phyāśana anbēṣaṇa
সোনার খনি	Sōnāra khani
স্বর্ণ পদকপ্রাপ্ত	Sbarṇa padakaprāpta
স্বর্ণ পদক	Sbarṇa padaka
গোল্ডফিশ	Gōlḍaphiśa
সুবর্ণ বার্ষিকী	Subarṇa bārṣikī
সুবর্ণ	Subarṇa
স্বর্ণের খনক	Sbarṇēra khanaka
স্বর্ণ	Sbarṇa
ঘটনাসমূহ	Ghaṭanāsamūha
যাওয়া - ওভার	Yā'ōẏā - ōbhāra
চালু	Cālu
রক্ষাকর চশমাবিশেষ	Rakṣākara caśamābiśēṣa
উদ্যোগী লোক	Udyōgī lōka
Gofer	Gofer
সফলতা	Saphalatā
ধর্মপিতা	Dharmapitā
ধর্মমাতা	Dharmamātā
ধার্মিক	Dhārmika
দেবতুল্য	Dēbatulya
নাস্তিক	Nāstika
godforsaken	Godforsaken
ধর্মপিতা	Dharmapitā
দেবী	Dēbī
goddamned	Goddamned
goddamn	Goddamn
godchildren	Godchildren
ধর্মসন্তান	Dharmasantāna
বেয়াড়া	Bēẏāṛā
দেবতা	Dēbatā
দেবতা	Dēbatā
পাল্কি	Pālki
gobs	Gobs
অপদেবতা	Apadēbatā
পানপাত্র	Pānapātra
সালিস	Sālisa
gobbledygook	Gobbledygook
গরগর শব্দ	Garagara śabda
নাবিক	Nābika
নুর	Nura
ছাগল	Chāgala
goalpost	Goalpost
গোলরক্ষক	Gōlarakṣaka
গোলরক্ষক	Gōlarakṣaka
লক্ষ্য	Lakṣya
উদ্যোগী	Udyōgī
অঙ্কুশ	Aṅkuśa
যাওয়া	Yā'ōẏā
GNP	GNP
সূক্ত	Sūkta
gnawing	Gnawing
চিবান	Cibāna
মশা	Maśā
কড়্মড়	Kaṛmaṛa
একগুঁয়ে	Ēkagum̐ẏē
জেদী	Jēdī
GMAT	GMAT
গ্লিসারিন	Glisārina
অতিভোজন	Atibhōjana
পেটুক	Pēṭuka
গোগ্রাসে গেলা	Gōgrāsē gēlā
glumly	Glumly
বিষাদগ্রস্ত	Biṣādagrasta
আঠা	Āṭhā
গ্লুকোজ	Glukōja
জোনাকি	Jōnāki
glowingly	Glowingly
প্রদীপ্ত	Pradīpta
glowering	Glowering
একদৃষ্টিতে তাকান	Ēkadr̥ṣṭitē tākāna
ভাস	Bhāsa
ড্যাশবক্স	Ḍyāśabaksa
দস্তানা	Dastānā
চকচকে	Cakacakē
টিপ্পনি	Ṭippani
টীকাটিপ্পনী	Ṭīkāṭippanī
গৌরব	Gauraba
gloriously	Gloriously
প্রসিদ্ধ	Prasid'dha
কীর্তন করা	Kīrtana karā
মহিমান্বিত	Mahimānbita
কীর্তন	Kīrtana
আঁধার	Ām̐dhāra
হতাশা	Hatāśā
হতাশায়	Hatāśāẏa
বিষাদ	Biṣāda
বটিকা	Baṭikā
গোল	Gōla
globetrotter	Globetrotter
পৃথিবী	Pr̥thibī
বিশ্বব্যাপী	Biśbabyāpī
বিশ্বব্যাপী	Biśbabyāpī
glob	Glob
আগ্রহসহকারে দেখা	Āgrahasahakārē dēkhā
glitzy	Glitzy
চাকচিক্য	Cākacikya
ঝক্ঝকে	Jhakjhakē
চিক্চিক	Cikcika
সামান্য ত্রুটি	Sāmān'ya truṭi
ঝলমল করা	Jhalamala karā
জ্বলজ্বল করা	Jbalajbala karā
আভাস	Ābhāsa
আভাস	Ābhāsa
এনজির্নহীন বিমান	Ēnajirnahīna bimāna
পিছলে পড়া	Pichalē paṛā
শতমুখে	Śatamukhē
শতমুখ	Śatamukha
gleefully	Gleefully
সানন্দ	Sānanda
উল্লাস	Ullāsa
উঁচ্ছবৃত্তি	Um̐cchabr̥tti
gleaming	Gleaming
কিরণ	Kiraṇa
মাতাল	Mātāla
চকচকানি	Cakacakāni
কাচিক	Kācika
কাচপাত্র	Kācapātra
চশমা	Caśamā
গ্লাস সিলিং	Glāsa siliṁ
কাচ	Kāca
জ্বলজ্বলে	Jbalajbalē
একদৃষ্টি	Ēkadr̥ṣṭi
গ্রন্থিময়	Granthimaẏa
গণ্ড	Gaṇḍa
চাহনি	Cāhani
ইন্দ্রজাল	Indrajāla
glamorously	Glamorously
চাকচিক্যময়	Cākacikyamaẏa
চটকদার	Caṭakadāra
সানন্দে	Sānandē
প্রাচীন রোমের মল্লযোদ্ধা	Prācīna rōmēra mallayōd'dhā
ডাঙ্গা	Ḍāṅgā
আনন্দিত	Ānandita
হিমবাহ	Himabāha
জমাট বাঁধা	Jamāṭa bām̐dhā
কণ্ঠ	Kaṇṭha
Gizmo	Gizmo
প্রদত্ত নাম	Pradatta nāma
প্রদত্ত	Pradatta
giveaway	Giveaway
আপোষ	Āpōṣa
দেত্তয়া	Dēttaẏā
সারকথা	Sārakathā
ঘের	Ghēra
গার্ল স্কাউট	Gārla skā'uṭa
গার্ল স্কাউট	Gārla skā'uṭa
বান্ধবী	Bāndhabī
মেয়ে	Mēẏē
ঘের	Ghēra
বেষ্টক	Bēṣṭaka
জিরাফ	Jirāpha
ছাতা	Chātā
সাবধানে	Sābadhānē
জিনজার ব্রেড	Jinajāra brēḍa
আদা-মিশ্রিত পানীয়বিশেষ	Ādā-miśrita pānīẏabiśēṣa
আদা	Ādā
জিন	Jina
প্রতারণামূলক	Pratāraṇāmūlaka
প্রতারণাপূর্ণ কৌশল	Pratāraṇāpūrṇa kauśala
ফুলকা	Phulakā
সমবায় সঙ্ঘ	Samabāẏa saṅgha
মুখ চাপিয়া হাসা	Mukha cāpiẏā hāsā
রাক্ষুসে	Rākṣusē
গিগাবাইট	Gigābā'iṭa
কোঁচ	Kōm̐ca
প্রতিভাধর	Pratibhādhara
উপহার সার্টিফিকেট	Upahāra sārṭiphikēṭa
উপহার	Upahāra
ঘূর্ণায়মান	Ghūrṇāẏamāna
পাখির মাংস রাধবার আগে পাখির শরীরের যে সমস্ত ভক্ষণযোগ্য অঙ্গ আলাদা করে নেওয়া হয়	Pākhira mānsa rādhabāra āgē pākhira śarīrēra yē samasta bhakṣaṇayōgya aṅga ālādā karē nē'ōẏā haẏa
উপহাস	Upahāsa
অর্থহীন কথা	Arthahīna kathā
দৈত্য	Daitya
আমলাতান্ত্রিক	Āmalātāntrika
পৈশাচিক	Paiśācika
পিশাচ	Piśāca
ঘোস্টরাইটার	Ghōsṭarā'iṭāra
প্রেতপুরী	Prētapurī
অশরীরী	Aśarīrī
প্রেতাত্মা	Prētātmā
শহরে ইন্থর্দিপাড়া	Śaharē inthardipāṛā
ভয়ানক	Bhaẏānaka
উষ্ণপ্রস্রবণ	Uṣṇaprasrabaṇa
GetUp	GetUp
পুরাতন বন্ধুবান্ধব প্রভৃতির পুনর্মিলন	Purātana bandhubāndhaba prabhr̥tira punarmilana
getaway	Getaway
পাওয়া	Pā'ōẏā
অঙ্গভঙ্গি	Aṅgabhaṅgi
ঠারা	Ṭhārā
গর্ভকাল	Garbhakāla
ক্রিয়াবাচক বিশেষ্যপদ	Kriẏābācaka biśēṣyapada
gerrymandering	Gerrymandering
কূটকৌশল	Kūṭakauśala
অঙ্কুর	Aṅkura
অঙ্কুরিত করা	Aṅkurita karā
জার্মান মেষপালক	Jārmāna mēṣapālaka
জার্মান হাম	Jārmāna hāma
জার্মান	Jārmāna
জীবাণু	Jībāṇu
জেরিয়াত্রিক্স	Jēriẏātriksa
বয়স্ক	Baẏaska
আকৃতির ফল দেয়	Ākr̥tira phala dēẏa
জ্যামিতি	Jyāmiti
জ্যামিতিক	Jyāmitika
জ্যামিতিক	Jyāmitika
ভূতত্ত্ব	Bhūtattba
ভূবিজ্ঞানী	Bhūbijñānī
ভূতাত্ত্বিক	Bhūtāttbika
ভূগোল	Bhūgōla
ভৌগোলিক	Bhaugōlika
ভৌগোলিক	Bhaugōlika
ভৌগোলিক	Bhaugōlika
মহাজাতি	Mahājāti
সত্যিকারভাবে	Satyikārabhābē
অকৃত্রিম	Akr̥trima
গড় হত্তয়া	Gaṛa hattaẏā
ভদ্রসম্প্রদায়	Bhadrasampradāẏa
gentrification	Gentrification
আস্তে	Āstē
নম্রতা	Namratā
ভদ্রলোক	Bhadralōka
মৃদু	Mr̥du
ভদ্রসমাজ	Bhadrasamāja
গোষ্ঠীভুক্ত	Gōṣṭhībhukta
সুশীল	Suśīla
সজ্জন	Sajjana
রীতি	Rīti
গণহত্যা	Gaṇahatyā
প্রতিভা	Pratibhā
জননেনি্দ্রয়	Jananēnidraẏa
উপস্থ	Upastha
বংশ সম্বন্ধীয়	Banśa sambandhīẏa
সদয়	Sadaẏa
সুপ্রজননবিদ্যা	Suprajananabidyā
প্রজনন বিদ্যা বিশেষজ্ঞ	Prajanana bidyā biśēṣajña
জেনেটিক ইঞ্জিনিয়ারিং	Jēnēṭika iñjiniẏāriṁ
জেনেটিকালি	Jēnēṭikāli
জেনেটিক	Jēnēṭika
জনন	Janana
উদারভাবে	Udārabhābē
উদার	Udāra
বদান্যতা	Badān'yatā
জেনেরিক	Jēnērika
জাতিবাচক	Jātibācaka
উত্পাদক	Utpādaka
জেনারেশন এক্স	Jēnārēśana ēksa
প্রজন্মের ফাঁক	Prajanmēra phām̐ka
প্রজন্ম	Prajanma
জেনারেট	Jēnārēṭa
সাধারণ দোকান	Sādhāraṇa dōkāna
সাধারণত	Sādhāraṇata
সাধারণ	Sādhāraṇa
বিশ্বজনীন করা	Biśbajanīna karā
সামান্যীকরণ	Sāmān'yīkaraṇa
সাধারণ নির্বাচনে	Sādhāraṇa nirbācanē
সাধারণ অবেদনিক	Sādhāraṇa abēdanika
সাধারণ	Sādhāraṇa
গণ	Gaṇa
বংশতালিকা	Banśatālikā
কুলাচার্য	Kulācārya
কুলুজি সংক্রান্ত	Kuluji saṅkrānta
জিন	Jina
লিঙ্গ	Liṅga
জেনারেল	Jēnārēla
মিথুনরাশি	Mithunarāśi
মণি	Maṇi
খোজাকরণ	Khōjākaraṇa
সিরিশ-আঠা	Siriśa-āṭhā
জেল	Jēla
জাপানীবাইজি	Jāpānībā'iji
লোক	Lōka
বাড়িয়ে	Bāṛiẏē
geeky	Geeky
গুরু	Guru
ঘোড়া	Ghōṛā
GED	GED
gearshift	Gearshift
গিয়ার্	Giẏār
গেজেট	Gējēṭa
হরিণ	Hariṇa
গাজেবো	Gājēbō
ঠাউর	Ṭhā'ura
গে	Gē
লাজুক	Lājuka
জবুথবু লোক	Jabuthabu lōka
সভাপতির হাতুড়ি	Sabhāpatira hātuṛi
দিয়েছেন	Diẏēchēna
গজ	Gaja
সামরিক শাস্তিবিশেষ	Sāmarika śāstibiśēṣa
কৃশ	Kr̥śa
হিসাব করার নিয়ম	Hisāba karāra niẏama
হাসিখুশি	Hāsikhuśi
আনাড়ি	Ānāṛi
জমায়েত	Jamāẏēta
জমা	Jamā
প্রবেশপথ	Prabēśapatha
Gatecrasher	Gatecrasher
গেট	Gēṭa
গ্যাসের কারখানা	Gyāsēra kārakhānā
উত্তম পানভোজনসংক্রান্ত	Uttama pānabhōjanasaṅkrānta
পাচক	Pācaka
গ্যাসীয়	Gyāsīẏa
গ্যাস স্টেশন	Gyāsa sṭēśana
এক্সিলেটর	Ēksilēṭara
খাবি	Khābi
পেট্রল	Pēṭrala
বিষবাষ্পপ্রতিরোধী মুখোশ	Biṣabāṣpapratirōdhī mukhōśa
gasket	Gasket
গভীর ক্ষত	Gabhīra kṣata
বায়বীয়	Bāẏabīẏa
গ্যাস চেম্বারের	Gyāsa cēmbārēra
গ্যাস	Gyāsa
গাটার	Gāṭāra
ফচকে	Phacakē
সৈন্য সরবরাহ করা	Sain'ya sarabarāha karā
চিলেকোঠা	Cilēkōṭhā
আভরণ	Ābharaṇa
তামড়ি	Tāmaṛi
চেল	Cēla
রসুন	Rasuna
মাল্য	Mālya
চটকদার	Caṭakadāra
মর্কট	Markaṭa
কুলকুচা	Kulakucā
প্রকাণ্ড	Prakāṇḍa
উদ্যানপালন	Udyānapālana
মালী	Mālī
বাগান	Bāgāna
বিকৃত হয়ে	Bikr̥ta haẏē
আবর্জনা মানুষ	Ābarjanā mānuṣa
গার্বেজ করতে পারেন	Gārbēja karatē pārēna
আবর্জনা	Ābarjanā
পোশাক	Pōśāka
গ্যারেজ বিক্রয়	Gyārēja bikraẏa
গ্যারেজ	Gyārēja
জৃম্ভমান	Jr̥mbhamāna
মুখব্যাদান	Mukhabyādāna
ফাঁক	Phām̐ka
চলাফেরার পথ	Calāphērāra patha
গুণ্ডা	Guṇḍā
পচা ঘা	Pacā ghā
gangplank	Gangplank
ডিগ্ভিগে	Ḍigbhigē
gangland	Gangland
দল	Dala
রাজহাঁস	Rājahām̐sa
স্বরগ্রাম	Sbaragrāma
গেম শো	Gēma śō
গেম	Gēma
খেলার পরিকল্পনা	Khēlāra parikalpanā
খেলা	Khēlā
জুয়া	Juẏā
জুয়াড়ি	Juẏāṛi
জুয়া	Juẏā
Gambit	Gambit
রাংঝালাই করা	Rān̄jhālā'i karā
galoshes	Galoshes
প্রচুর পরিমাণে	Pracura parimāṇē
ফাঁসিকাঠ	Phām̐sikāṭha
স্বচ্ছন্দধাবন	Sbacchandadhābana
পয়সের পাঁচ সের	Paẏasēra pām̐ca sēra
ছিনালি করা	Chināli karā
জাহাজের	Jāhājēra
গ্যালারি	Gyālāri
পিত্তকোষ	Pittakōṣa
নাগরালি	Nāgarāli
প্রাণপনে	Prāṇapanē
প্রেমপূর্ণ	Prēmapūrṇa
পিত্ত	Pitta
বাত্যা	Bātyā
ছায়াপথ	Chāẏāpatha
ছায়াপথসংক্রান্ত	Chāẏāpathasaṅkrānta
আনুষ্ঠানিক	Ānuṣṭhānika
মেয়ে .	Mēẏē.
মেয়ে	Mēẏē
গেইট	Gē'iṭa
লাভ	Lābha
ফূর্তিতে	Phūrtitē
আন্নদ	Ānnada
ঠাট্টা অর্ডার	Ṭhāṭṭā arḍāra
ঝাঁক	Jhām̐ka
ঠাট্টা	Ṭhāṭṭā
অসমীচীন কাজ	Asamīcīna kāja
গ্যাজেট	Gyājēṭa
বাড়ির ত্রিকোণ ধার	Bāṛira trikōṇa dhāra
কইয়ে	Ka'iẏē
FYI	FYI
ঝাপসা	Jhāpasā
মিহি গুঁড়া	Mihi gum̐ṛā
আধুনিক	Ādhunika
কাল ভবিষ্যত	Kāla bhabiṣyata
ভবিষ্যৎ	Bhabiṣyaṯ
একবোরে	Ēkabōrē
বৃথা	Br̥thā
ব্যস্তবাগীশ	Byastabāgīśa
হৈচৈ	Haicai
লয়	Laẏa
বিমানপোতের কাঠাম	Bimānapōtēra kāṭhāma
ফিউজ বক্স	Phi'uja baksa
ফিউজ্	Phi'uj
উন্মত্ততা	Unmattatā
অলক্ষ্যে	Alakṣyē
অলক্ষিত	Alakṣita
সর্বাধিক দূরে	Sarbādhika dūrē
তদ্ব্যতীত	Tadbyatīta
অধিকতর	Adhikatara
লোমযুক্ত	Lōmayukta
খাঁজ কাটা	Khām̐ja kāṭā
উন্মাদনা	Unmādanā
আসবাবপত্র	Āsabābapatra
গৃহসজ্জা	Gr̥hasajjā
সজ্জিত	Sajjita
সজ্জিত করা	Sajjita karā
অগ্নিকুণ্ড	Agnikuṇḍa
Furlong	Furlong
দুমড়ান	Dumaṛāna
উন্মত্তবৎ	Unmattabaṯ
অগ্নিশর্মা	Agniśarmā
পশম	Paśama
মজার হাড়	Majāra hāṛa
মজার	Majāra
অদ্ভুতভাবে	Adbhutabhābē
Funnies	Funnies
ফানেলের মেঘ	Phānēlēra mēgha
ফানেল	Phānēla
ভয়াতুর	Bhaẏātura
কাপুরূষ	Kāpurūṣa
ছাতা	Chātā
ছত্রাক	Chatrāka
ফাংগাল	Phāṅgāla
শেষকৃত্যের হোম	Śēṣakr̥tyēra hōma
অন্ত্যেষ্টিক্রিয়া পরিচালক	Antyēṣṭikriẏā paricālaka
